 Vehicle
Eastbound 	Westbound 	Northbound 	Southbound 	
L 	T 	Total 	L 	T 	Total 	L 	T 	Total 	L 	T 	Total 	Vehicle Total
12:00 AM 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
12:05 AM 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
12:10 AM 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
12:15 AM 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
12:20 AM 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
12:25 AM 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
12:30 AM 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
12:35 AM 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
12:40 AM 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
12:45 AM 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
12:50 AM 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
12:55 AM 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
1:00 AM 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
1:05 AM 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
1:10 AM 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
1:15 AM 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
1:20 AM 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
1:25 AM 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
1:30 AM 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
1:35 AM 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
1:40 AM 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
1:45 AM 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
1:50 AM 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
1:55 AM 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
2:00 AM 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
